m,n_m,multiplier,variant,reps,seed,success_prob,n_qubits,n_search_qubits,search_space_size,reduction_ratio,depth,cnot_count,u3_count,n_seeds,opt_seconds
21,5,hrs,reduced,3,2,0.227714,21,8,5.0,0.625,33916,19009,25151,5,5890.9
21,5,hrs,reduced,3,3,0.278379,21,8,5.0,0.625,33916,19009,25151,5,5890.9
21,5,hrs,reduced,3,4,0.359415,21,8,5.0,0.625,33916,19009,25151,5,5890.9
21,5,hrs,reduced,4,0,0.550931,21,8,5.0,0.625,45220,25345,33528,5,6239.9
21,5,hrs,reduced,4,1,0.487249,21,8,5.0,0.625,45220,25345,33528,5,6239.9
21,5,hrs,reduced,4,2,0.505825,21,8,5.0,0.625,45220,25345,33528,5,6239.9
21,5,hrs,reduced,4,3,0.398249,21,8,5.0,0.625,45220,25345,33528,5,6239.9
21,5,hrs,reduced,4,4,0.280409,21,8,5.0,0.625,45220,25345,33528,5,6239.9
21,5,hrs,reduced,5,0,0.65122,21,8,5.0,0.625,56524,31681,41905,5,10464.1
21,5,hrs,reduced,5,1,0.454532,21,8,5.0,0.625,56524,31681,41905,5,10464.1
21,5,hrs,reduced,5,2,0.717563,21,8,5.0,0.625,56524,31681,41905,5,10464.1
21,5,hrs,reduced,5,3,0.587018,21,8,5.0,0.625,56524,31681,41905,5,10464.1
21,5,hrs,reduced,5,4,0.391114,21,8,5.0,0.625,56524,31681,41905,5,10464.1
35,6,hrs,uniform,1,0,0.005371,25,9,9.0,1.0,15818,8790,11727,5,6356.4
35,6,hrs,uniform,1,1,0.016537,25,9,9.0,1.0,15818,8790,11727,5,6356.4
35,6,hrs,uniform,1,2,0.015028,25,9,9.0,1.0,15818,8790,11727,5,6356.4
35,6,hrs,uniform,1,3,0.016537,25,9,9.0,1.0,15818,8790,11727,5,6356.4
35,6,hrs,uniform,1,4,0.016537,25,9,9.0,1.0,15818,8790,11727,5,6356.4
35,6,hrs,uniform,2,0,0.021246,25,9,9.0,1.0,31635,17580,23432,5,39700.8
35,6,hrs,uniform,2,1,0.021226,25,9,9.0,1.0,31635,17580,23432,5,39700.8
35,6,hrs,uniform,2,2,0.022158,25,9,9.0,1.0,31635,17580,23432,5,39700.8
35,6,hrs,uniform,2,3,0.006666,25,9,9.0,1.0,31635,17580,23432,5,39700.8
35,6,hrs,uniform,2,4,0.004882,25,9,9.0,1.0,31635,17580,23432,5,39700.8
35,6,hrs,uniform,3,0,0.034635,25,9,9.0,1.0,47452,26370,35137,5,76486.1
35,6,hrs,uniform,3,1,0.016354,25,9,9.0,1.0,47452,26370,35137,5,76486.1
35,6,hrs,uniform,3,2,0.028207,25,9,9.0,1.0,47452,26370,35137,5,76486.1
35,6,hrs,uniform,3,3,0.009865,25,9,9.0,1.0,47452,26370,35137,5,76486.1
35,6,hrs,uniform,3,4,0.027343,25,9,9.0,1.0,47452,26370,35137,5,76486.1
35,6,hrs,uniform,4,0,0.040332,25,9,9.0,1.0,63269,35160,46842,5,92547.0
35,6,hrs,uniform,4,1,0.0235,25,9,9.0,1.0,63269,35160,46842,5,92547.0
35,6,hrs,uniform,4,2,0.022791,25,9,9.0,1.0,63269,35160,46842,5,92547.0
35,6,hrs,uniform,4,3,0.025878,25,9,9.0,1.0,63269,35160,46842,5,92547.0
35,6,hrs,uniform,4,4,0.027108,25,9,9.0,1.0,63269,35160,46842,5,92547.0
35,6,hrs,uniform,5,0,0.035982,25,9,9.0,1.0,79086,43950,58547,5,115371.3
35,6,hrs,uniform,5,1,0.024597,25,9,9.0,1.0,79086,43950,58547,5,115371.3
35,6,hrs,uniform,5,2,0.072659,25,9,9.0,1.0,79086,43950,58547,5,115371.3
35,6,hrs,uniform,5,3,0.096058,25,9,9.0,1.0,79086,43950,58547,5,115371.3
35,6,hrs,uniform,5,4,0.032992,25,9,9.0,1.0,79086,43950,58547,5,115371.3
35,6,hrs,reduced,1,0,0.046755,25,9,6.585,0.7317,16287,9111,12072,5,19170.2
35,6,hrs,reduced,1,1,0.046755,25,9,6.585,0.7317,16287,9111,12072,5,19170.2
35,6,hrs,reduced,1,2,0.022153,25,9,6.585,0.7317,16287,9111,12072,5,19170.2
35,6,hrs,reduced,1,3,0.046755,25,9,6.585,0.7317,16287,9111,12072,5,19170.2
35,6,hrs,reduced,1,4,0.046755,25,9,6.585,0.7317,16287,9111,12072,5,19170.2
35,6,hrs,reduced,2,0,0.050901,25,9,6.585,0.7317,32570,18221,24121,5,56012.1
35,6,hrs,reduced,2,1,0.099981,25,9,6.585,0.7317,32570,18221,24121,5,56012.1
35,6,hrs,reduced,2,2,0.068865,25,9,6.585,0.7317,32570,18221,24121,5,56012.1
35,6,hrs,reduced,2,3,0.069088,25,9,6.585,0.7317,32570,18221,24121,5,56012.1
35,6,hrs,reduced,2,4,0.084078,25,9,6.585,0.7317,32570,18221,24121,5,56012.1
35,6,hrs,reduced,3,0,0.131789,25,9,6.585,0.7317,48853,27331,36170,5,85017.6
35,6,hrs,reduced,3,1,0.070595,25,9,6.585,0.7317,48853,27331,36170,5,85017.6
35,6,hrs,reduced,3,2,0.086784,25,9,6.585,0.7317,48853,27331,36170,5,85017.6
35,6,hrs,reduced,3,3,0.079988,25,9,6.585,0.7317,48853,27331,36170,5,85017.6
35,6,hrs,reduced,3,4,0.094278,25,9,6.585,0.7317,48853,27331,36170,5,85017.6
35,6,hrs,reduced,4,0,0.223058,25,9,6.585,0.7317,65136,36441,48219,5,127612.5
35,6,hrs,reduced,4,1,0.117721,25,9,6.585,0.7317,65136,36441,48219,5,127612.5
35,6,hrs,reduced,4,2,0.104825,25,9,6.585,0.7317,65136,36441,48219,5,127612.5
35,6,hrs,reduced,4,3,0.114111,25,9,6.585,0.7317,65136,36441,48219,5,127612.5
35,6,hrs,reduced,4,4,0.108324,25,9,6.585,0.7317,65136,36441,48219,5,127612.5
35,6,hrs,reduced,5,0,0.109664,25,9,6.585,0.7317,81419,45551,60268,5,157295.2
35,6,hrs,reduced,5,1,0.07514,25,9,6.585,0.7317,81419,45551,60268,5,157295.2
35,6,hrs,reduced,5,2,0.141751,25,9,6.585,0.7317,81419,45551,60268,5,157295.2
35,6,hrs,reduced,5,3,0.151686,25,9,6.585,0.7317,81419,45551,60268,5,157295.2
35,6,hrs,reduced,5,4,0.131637,25,9,6.585,0.7317,81419,45551,60268,5,157295.2
