m,n_m,variant,reps,n_qubits,multiplier,shots,error_rate,seed,success_noisy,success_ideal,seconds,angles
15,4,reduced,3,17,hrs,2048,0.0001,2,0.16748,0.434116,481.5,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
15,4,reduced,3,17,hrs,2048,0.01,2,0.018555,0.434116,484.8,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
15,4,reduced,3,17,hrs,2048,0.1,2,0.018066,0.434116,476.3,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
15,4,reduced,3,17,hrs,2048,-1.0,3,,0.398221,121.9,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,2048,0.0001,3,0.157227,0.398221,521.2,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,2048,0.01,3,0.018066,0.398221,545.5,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,2048,0.1,3,0.016113,0.398221,530.8,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,2048,-1.0,4,,0.441136,132.3,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,reduced,3,17,hrs,2048,0.0001,4,0.169922,0.441136,493.3,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,reduced,3,17,hrs,2048,0.01,4,0.018066,0.441136,511.2,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,reduced,3,17,hrs,2048,0.1,4,0.013672,0.441136,490.9,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,uniform,4,17,hrs,2048,-1.0,0,,0.171579,123.0,"[1.93533212, 0.77324418, 0.25886867, 0.13096389, 2.70776228, 3.06560086, 2.04525965, 2.84812292]"
15,4,uniform,4,17,hrs,2048,0.0001,0,0.049805,0.171579,615.7,"[1.93533212, 0.77324418, 0.25886867, 0.13096389, 2.70776228, 3.06560086, 2.04525965, 2.84812292]"
15,4,uniform,4,17,hrs,2048,0.01,0,0.016602,0.171579,641.0,"[1.93533212, 0.77324418, 0.25886867, 0.13096389, 2.70776228, 3.06560086, 2.04525965, 2.84812292]"
15,4,uniform,4,17,hrs,2048,0.1,0,0.015625,0.171579,624.5,"[1.93533212, 0.77324418, 0.25886867, 0.13096389, 2.70776228, 3.06560086, 2.04525965, 2.84812292]"
15,4,uniform,4,17,hrs,2048,-1.0,1,,0.142486,149.4,"[1.51040647, 3.04651689, 1.39157741, 3.48953191, 0.83147387, 1.20566388, 3.56869447, 1.13634251]"
15,4,uniform,4,17,hrs,2048,0.0001,1,0.035645,0.142486,623.9,"[1.51040647, 3.04651689, 1.39157741, 3.48953191, 0.83147387, 1.20566388, 3.56869447, 1.13634251]"
15,4,uniform,4,17,hrs,2048,0.01,1,0.017578,0.142486,585.0,"[1.51040647, 3.04651689, 1.39157741, 3.48953191, 0.83147387, 1.20566388, 3.56869447, 1.13634251]"
15,4,uniform,4,17,hrs,2048,0.1,1,0.019043,0.142486,619.6,"[1.51040647, 3.04651689, 1.39157741, 3.48953191, 0.83147387, 1.20566388, 3.56869447, 1.13634251]"
15,4,uniform,4,17,hrs,2048,-1.0,2,,0.073431,125.2,"[0.73710913, 1.94917946, 3.24760812, 0.1812326, 2.08363826, 2.53438141, 1.84818144, 0.08890149]"
15,4,uniform,4,17,hrs,2048,0.0001,2,0.027344,0.073431,610.4,"[0.73710913, 1.94917946, 3.24760812, 0.1812326, 2.08363826, 2.53438141, 1.84818144, 0.08890149]"
15,4,uniform,4,17,hrs,2048,0.01,2,0.016602,0.073431,607.8,"[0.73710913, 1.94917946, 3.24760812, 0.1812326, 2.08363826, 2.53438141, 1.84818144, 0.08890149]"
